Mn,Ni,Mg,Ca,Fe,La,Y,In,J.uAcm2_0.80_fromCV,J.uAcm2_0.63_secondCA,J.uAcm2_0.63_initialCA
0,0.5,0,0.3,0.1,0,0.1,0,755.125,2237.661905,
1,0,0,0,0,0,0,0,830.3485,2234.438095,2515.304762
0.6,0,0.1,0.2,0.1,0,0,0,786.617,2229.478571,3244.12381
0.7,0,0.1,0,0.1,0,0,0.1,,2225.409524,
0.6,0.3,0,0,0,0.1,0,0,577.26585,2221.909524,1537.721429
0.2,0.3,0.1,0.4,0,0,0,0,680.7567775,2220.452381,1457.361429
0,0.3,0.2,0,0.2,0.3,0,0,695.1658,2220.338095,468.8828571
0.9,0,0,0,0,0,0.1,0,622.25525,2209.857143,2281.304762
0,0.2,0.2,0.3,0,0,0.3,0,,2209.266667,1757.97619
0.5,0.1,0.2,0,0,0.2,0,0,518.27705,2206.219048,1435.349524
0.5,0.3,0,0,0,0,0,0.2,460.5025,2203.819048,1381.666667
0.2,0.2,0.1,0,0.5,0,0,0,534.664,2203.509524,2510.361905
0,0.2,0,0.5,0.1,0.2,0,0,528.487,2201.380952,
0.2,0.6,0.1,0,0,0.1,0,0,608.0803,2200.994762,865.2961905
0,0.3,0.4,0.2,0,0.1,0,0,742.6535,2199.880952,1866.390476
0.3,0,0,0.3,0.4,0,0,0,545.784,2198.119048,2588.224821
0,0,0.4,0.5,0.1,0,0,0,366.11535,2197.961905,1066.305381
0.4,0.4,0,0.1,0,0,0.1,0,453.5565,2195.804286,1882.778571
0.5,0,0.1,0.1,0,0,0.3,0,687.6295,2195.780952,3313.761905
0,0.2,0,0.3,0.3,0.2,0,0,842.5118995,2195.352381,1220.619048
0,0.1,0.4,0.4,0,0,0.1,0,678.0555,2191.019048,1081.409524
0.5,0,0,0,0.5,0,0,0,739.537,2188.380952,2854.342857
0.3,0,0,0.1,0.2,0,0.4,0,803.0825,2182.938095,1202.914286
0.1,0.3,0.3,0,0,0.3,0,0,581.2027,2182.271429,1038.561905
0.2,0.5,0,0,0.2,0,0.1,0,452.4242,2181.569524,1358.747619
0.3,0.1,0,0.3,0.3,0,0,0,937.8505,2180.804762,3309.619048
0,0.5,0,0.2,0.1,0.2,0,0,588.169,2180.661905,1879.519048
0.6,0.1,0,0.3,0,0,0,0,1055.2475,2172.285714,2239.488095
0.6,0.1,0,0,0.1,0,0.2,0,707.60045,2171.938095,2460.711905
0.4,0,0.1,0,0.4,0,0.1,0,778.374,2171.885714,2652.057143
0.5,0,0.2,0.2,0,0.1,0,0,851.864,2170.62381,2541.671429
0.7,0.2,0,0.1,0,0,0,0,526.39785,2168.728571,2603.804762
0.5,0.1,0.2,0,0.2,0,0,0,489.2355,2166.547619,3209.761905
0,0.4,0,0,0.3,0.3,0,0,640.005,2165.842857,616.9071429
0.4,0,0,0.2,0.2,0,0,0.2,462.25515,2165.533333,
0.6,0,0.3,0,0.1,0,0,0,597.7355,2164.816667,2926.809524
0.5,0,0,0,0.3,0.2,0,0,599.775725,2162.445238,2143.678571
0.4,0.5,0,0,0.1,0,0,0,523.06775,2161.385714,2269.161905
0,0.2,0.4,0,0.1,0,0.3,0,862.03,2159.090476,423.9209524
0,0.5,0.3,0,0,0.2,0,0,645.4919,2157.295238,605.5095238
0.1,0,0,0.1,0.3,0.5,0,0,644.17635,2157.080952,1156.97619
0.1,0,0.3,0,0.5,0,0.1,0,549.1905,2153.228571,
0.1,0,0,0.2,0.4,0,0.3,0,,2149.685714,1375.480952
0.9,0,0,0.1,0,0,0,0,711.0395,2146.602381,2952.185714
0,0.3,0,0.1,0.5,0,0.1,0,,2143.019048,
0.1,0,0.4,0.1,0,0,0.4,0,878.9405,2140.295238,
0.2,0,0.2,0,0.5,0,0.1,0,593.5057795,2134.72381,1727.380952
0.2,0.2,0,0.5,0.1,0,0,0,556.3575,2132.190476,1790.166667
0,0.3,0.2,0,0.1,0,0.4,0,536.3718,2131.228571,1985.128571
0.4,0.2,0.2,0.2,0,0,0,0,442.1351,2122.990476,2587.3
0.5,0.1,0.2,0.2,0,0,0,0,614.913275,2121.469048,1734.930952
0.4,0.2,0,0,0.3,0.1,0,0,930.8985,2120.080952,1894.300714
0.6,0,0,0,0.2,0,0.2,0,517.32125,2118.285714,2341.011905
